Source,Type,Target,Weight
Polonius_Ham,Undirected,PLAYERS.King_Ham,1
Polonius_Ham,Undirected,PLAYERS.Queen_Ham,1
Polonius_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Polonius_Ham,Undirected,Ghost_Ham,1
Hamlet_Ham,Undirected,Gertrude_Ham,7
Hamlet_Ham,Undirected,Ghost_Ham,2
Hamlet_Ham,Undirected,Rosencrantz_Ham,7
Hamlet_Ham,Undirected,Guildenstern_Ham,5
Hamlet_Ham,Undirected,PLAYERS.1_Ham,1
Hamlet_Ham,Undirected,Ophelia_Ham,2
Hamlet_Ham,Undirected,PLAYERS.0.1_Ham,1
Hamlet_Ham,Undirected,PLAYERS.Prologue_Ham,1
Hamlet_Ham,Undirected,PLAYERS.King_Ham,1
Hamlet_Ham,Undirected,PLAYERS.Queen_Ham,1
Hamlet_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Hamlet_Ham,Undirected,ATTENDANTS.GUARDS_Ham,1
Hamlet_Ham,Undirected,Fortinbras_Ham,2
Hamlet_Ham,Undirected,SOLDIERS.FORTINBRAS.Captain_Ham,1
Hamlet_Ham,Undirected,Gravedigger_Ham,1
Hamlet_Ham,Undirected,GravediggersCompanion_Ham,1
Hamlet_Ham,Undirected,Doctor_Ham,1
Hamlet_Ham,Undirected,ATTENDANTS_Ham,2
Hamlet_Ham,Undirected,Osric_Ham,1
Hamlet_Ham,Undirected,ATTENDANTS.2_Ham,1
Hamlet_Ham,Undirected,AMBASSADORS_Ham,1
Gertrude_Ham,Undirected,Rosencrantz_Ham,3
Gertrude_Ham,Undirected,Guildenstern_Ham,3
Gertrude_Ham,Undirected,PLAYERS.1_Ham,1
Gertrude_Ham,Undirected,Ophelia_Ham,3
Gertrude_Ham,Undirected,PLAYERS.0.1_Ham,1
Gertrude_Ham,Undirected,PLAYERS.Prologue_Ham,1
Gertrude_Ham,Undirected,PLAYERS.King_Ham,1
Gertrude_Ham,Undirected,PLAYERS.Queen_Ham,1
Gertrude_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Gertrude_Ham,Undirected,Ghost_Ham,1
Gertrude_Ham,Undirected,ATTENDANTS.1_Ham,1
Gertrude_Ham,Undirected,MESSENGERS.1_Ham,1
Gertrude_Ham,Undirected,FOLLOWERS.LAERTES_Ham,1
Gertrude_Ham,Undirected,MESSENGERS.2_Ham,1
